Stock,RS_Rating,50 Day MA,150 Day MA,200 Day MA,52 Week Low,52 week High
LOGI,84,62.79,59.81,59.26,43.279998779296875,72.37999725341797
VMC,71,216.32,191.12,186.87,147.4302978515625,228.72000122070312
AER,81,62.52,59.78,59.15,39.75,66.55999755859375
KRUS,85,92.11,72.59,70.53,39.880001068115234,108.91999816894531
RS,85,269.33,248.55,236.8,166.93069458007812,293.07000732421875
SP,77,38.89,36.41,36.01,30.31999969482422,41.56999969482422
APLT,99,1.45,1.22,1.12,0.5400000214576721,1.9199999570846558
CAMT,93,37.45,30.3,28.5,21.15999984741211,47.97999954223633
IIIN,89,31.37,29.71,28.79,23.178977966308594,32.95000076293945
CTIC,95,7.44,6.0,5.87,4.079999923706055,9.100000381469727
MAR,77,186.43,174.19,169.51,135.14297485351562,206.4600067138672
SKYW,78,39.31,27.78,25.2,14.869999885559082,44.540000915527344
USLM,88,200.56,171.59,162.4,101.81147003173828,215.47999572753906
TOL,85,77.24,65.4,60.63,39.87399673461914,83.5199966430664
SHEN,82,19.33,19.14,18.98,15.760986328125,24.184104919433594
HURN,90,86.01,79.31,78.12,65.0199966430664,101.55999755859375
WW,92,7.98,6.34,5.76,3.380000114440918,11.649999618530273
CRVL,88,201.57,191.42,181.1,137.27999877929688,221.0399932861328
